State,District,Taluka/Tehsil,Latitude,Longitude
Bihar,Aurangabad,Aurangabad,24.7939156371826,84.40457603141837
Bihar,Banka,Banka,24.852177685229453,86.83424900166173
Bihar,Begusarai,Begusarai,25.495752175445947,86.12356662569138
Bihar,Bhagalpur,Bhagalpur,25.218507300547266,87.10054549996353
Bihar,Bhagalpur,Naugachhia,25.361968478345432,87.03489195603319
Bihar,Bhojpur,Ara,25.47065988945819,84.5356052666776
Bihar,Buxar,Buxar,25.49329684062159,84.09356193906069
Bihar,Darbhanga,Benipur,26.043773221302168,86.1731085159981
Bihar,Darbhanga,Darbhanga,26.188242194148945,85.85646173770562
Bihar,Gaya,Gaya,24.699121331945832,84.92853761879617
Bihar,Gopalganj,Gopalganj,26.445186770456086,84.3681788645355
Bihar,Jamui,Jamui,24.78583109696915,86.28845339262008
Bihar,Jehanabad,Jahanabad,25.156263080710826,85.02165907663118
Bihar,Kaimur,Bhabua,24.993292450623688,83.5985582145902
Bihar,Katihar,Katihar,25.545362770598828,87.63893731038765
Bihar,Khagaria,Khagaria,25.512392367764214,86.59617370496174
Bihar,Kishanganj,Kishanganj,26.295506795015925,87.9291531584299
Bihar,Lakhisarai,Lakhisarai,25.159826191446363,86.12818616035548
Bihar,Madhepura,Kishanganj,25.609216015009554,86.93906090943543
Bihar,Madhepura,Madhepura,25.95734073984457,86.85921702483915
Bihar,Madhubani,Benipatti,26.48026803897565,85.92277449930579
Bihar,Madhubani,Jhanjharpur,26.33767766650517,86.41706408525518
Bihar,Madhubani,Madhubani,26.438817572598317,86.16633914854387
Bihar,Munger,Munger,25.2113427886171,86.52694558839224
Bihar,Muzaffarpur,Muzaffarpur,26.16700860280262,85.5093195109845
Bihar,Muzaffarpur,n.a. ( 542),26.138865058345157,85.14226754611639
Bihar,Nalanda,Bihar Sharif,25.199822836631718,85.54052216929495
Bihar,Nalanda,Hilsa,25.256493238153357,85.29908530564941
Bihar,Nawada,Nawada,24.81119615553505,85.58712087911799
Bihar,Pashchim Champaran,Bettiah,27.080101691355484,84.33658840419871
Bihar,Patna,Barh,25.414314686364065,85.7536966080917
Bihar,Patna,Danapur,25.491153110513256,84.88559028585767
Bihar,Patna,Masaurhi,25.386026596540503,85.06276927984706
Bihar,Patna,n.a. ( 652),25.51811896069056,85.20094206659819
Bihar,Purba Champaran,Dhaka,26.598311688527996,85.12097887006028
Bihar,Purba Champaran,Motihari,26.632480320955263,84.81459034373808
Bihar,Purnia,Purnia,25.816372449116695,87.40066806455499
Bihar,Rohtas,Sasaram,24.981238780045786,84.01992001203185
Bihar,Saharsa,Saharsa,25.81707832327259,86.58255607443027
Bihar,Samastipur,Dalsing Sarai,25.692089518623774,85.74972474323356
Bihar,Samastipur,Rusera,25.77853511211939,86.13697128635468
Bihar,Samastipur,Samastipur,25.837243845211134,85.73452672958429
Bihar,Saran,Chhapra,25.906410016584697,84.81691559880583
Bihar,Sheikhpura,Sheikhpura,25.131602339418514,85.81459017614759
Bihar,Sheohar,Sheohar,26.48489644525979,85.322674417422
Bihar,Sitamarhi,Sitamarhi,26.56087065463548,85.43805491004419
Bihar,Sitamarhi,n.a. ( 455),26.620487298841798,85.63516864086627
Bihar,Siwan,Siwan,26.162977184266786,84.38080838356223
Bihar,Supaul,Birpur,26.338576411872673,86.90132789414068
Bihar,Supaul,Supaul,26.165545918736385,86.69475582135745
Bihar,Vaishali,Hajipur,25.763228197098293,85.36198303201797
Chandigarh,Chandigarh,Chandigarh,30.73385221058383,76.76827547272617
Chhattisgarh,Balod,Balod,20.687549847403062,81.15662389050004
Chhattisgarh,Baloda Bazar,Baloda Bazar,21.590941412659056,82.19656519299129
Chhattisgarh,Baloda Bazar,Bhatapara,21.767590261623074,82.02303962202157
Chhattisgarh,Baloda Bazar,Bilaigarh,21.612123878122315,82.79359373409744
Chhattisgarh,Baloda Bazar,Kasdol,21.481632091033294,82.47942108190358
Chhattisgarh,Baloda Bazar,Simga,21.636765393754843,81.86302697268007
Chhattisgarh,Balrampur,Ambikapur,23.345486510859544,83.37324887343539
Chhattisgarh,Balrampur,Kusmi,23.365732964057933,83.80611625392218
Chhattisgarh,Balrampur,Ramanuj Ganj,23.75315766501047,83.3625120421472
Chhattisgarh,Bastar,Jagdalpur,19.102764726358185,81.864991475462
Chhattisgarh,Bastar,n.a. ( 1547),19.23388229643547,81.31900368898343
Chhattisgarh,Bastar,n.a. ( 1608),18.67408895173597,81.81698304253902
Chhattisgarh,Bemetara,Bemetara,21.707473514741782,81.51937356550891
Chhattisgarh,Bijapur,Bijapur,18.83900836796208,80.76846561531596
Chhattisgarh,Bilaspur,Bilaspur,22.029457357354758,82.23211571770821
Chhattisgarh,Bilaspur,Kota,22.419014601181736,82.02059195651682
Chhattisgarh,Bilaspur,Pendra Road,22.804608071124452,81.99324036179149
Chhattisgarh,Bilaspur,Takhatpur,22.15317034248713,81.96117167289648
Chhattisgarh,Bilaspur,n.a. ( 1152),22.240814800618466,82.99752264668554
Chhattisgarh,Dantewada,Dantewara,18.818222791475538,81.37549875045738
Chhattisgarh,Dhamtari,Dhamtari,20.553659067655495,81.80318908259618
Chhattisgarh,Durg,Durg,21.152202080427145,81.35494204706335
Chhattisgarh,Gariaband,Bindra Nawagarh,20.37067286583531,82.26050175160589
Chhattisgarh,Janjgir-Champa,Champa,21.943674570202017,82.73491469382634
Chhattisgarh,Janjgir-Champa,Janjgir,21.955519459920467,82.51651228516953
Chhattisgarh,Janjgir-Champa,Sakti,21.884982513364687,82.96927814761433
Chhattisgarh,Jashpur,Bagicha,22.926649000530677,83.72477528413079
Chhattisgarh,Jashpur,Jashpurnagar,22.78046243612392,84.01786693940683
Chhattisgarh,Jashpur,Pathalgaon,22.54688551003722,83.60478850826354
Chhattisgarh,Kabeerdham,Kawardha,22.019608254766126,81.14791661538489
Chhattisgarh,Kabeerdham,Pandaria,22.286160933787432,81.40107110952798
Chhattisgarh,Kondagaon,Kondagaon,19.74059299534722,81.65718727666504
Chhattisgarh,Korba,Katghora,22.60982526850601,82.43105128416897
Chhattisgarh,Korba,Korba,22.418172585093235,82.86017486734418
Chhattisgarh,Koriya,Baikunthpur,23.468662589879713,82.48871333707899
Chhattisgarh,Koriya,Bharatpur,23.68703838148052,81.94608785817698
Chhattisgarh,Koriya,Manendragarh,23.233295384806404,82.2818980007224
Chhattisgarh,Mahasamund,Mahasamund,21.12098666861256,82.33956304652206
Chhattisgarh,Mahasamund,Seraipali,21.30564666534342,82.93175792026527
Chhattisgarh,Mungeli,Mungeli,22.239844705532775,81.72526904571366
Chhattisgarh,Narayanpur,Narainpur,19.571475881307354,81.07089701665626
Chhattisgarh,Raigarh,Dharmjaygarh,22.46769003184719,83.22802309291947
Chhattisgarh,Raigarh,Gharghoda,22.243534902207276,83.46194659961937
Chhattisgarh,Raigarh,Raigarh,21.86738834296783,83.3813516006151
Chhattisgarh,Raigarh,Sarangarh,21.553129947297087,83.17521769318574
Chhattisgarh,Raigarh,n.a. ( 1156),22.045240220266916,83.09635433394655
Chhattisgarh,Raipur,Raipur,21.28297329652187,81.8153284887922
Chhattisgarh,Raipur,Rajim,20.94034322333887,82.0124366706072
Chhattisgarh,Rajnandgaon,Chhuikhadan,21.63031518666327,80.92989746564963
Chhattisgarh,Rajnandgaon,Dongargarh,21.185606411419126,80.7217464129819
Chhattisgarh,Rajnandgaon,Khairagarh,21.393357766254294,80.93475500987721
Chhattisgarh,Rajnandgaon,Raj Nandgaon,20.756878915736866,80.772480316879
Chhattisgarh,Sukma,Konta,18.25362957917077,81.34312023206981
Chhattisgarh,Surajpur,Partabpur,23.558836198638218,83.0781360468795
Chhattisgarh,Surajpur,Surajpur,23.34487179893909,82.79836447028542
Chhattisgarh,Surguja,Ambikapur,22.925119778766522,83.03925159861079
Chhattisgarh,Surguja,Lundra,23.1366413234699,83.4026659422395
Chhattisgarh,Surguja,Sitapur,22.836999653550908,83.42851974488084
Chhattisgarh,Uttar Bastar Kanker,Bhanupratappur,20.262362638774068,81.00474434127999
Chhattisgarh,Uttar Bastar Kanker,Kanker,20.330911706210724,81.5096137809356
Chhattisgarh,Uttar Bastar Kanker,Pakhanjur,19.957593149286723,80.67262407751392
Chhattisgarh,Uttar Bastar Kanker,n.a. ( 1475),19.957779209121053,81.15935991523166
Dadra and Nagar Haveli,Dadra and Nagar Haveli,Silvassa,20.194793153347483,73.0808914620864
Daman and Diu,Daman,Daman,20.413760924962524,72.85940733012386
Daman and Diu,Diu,Diu,20.717183648419564,70.94067200480039
Goa,North Goa,Dicholi,15.561265353873655,73.98878358280326
Goa,North Goa,Mapuca,15.58413323033912,73.82599364437691
Goa,North Goa,Panaji,15.476502079892416,73.8971105541505
Goa,North Goa,Pernem,15.699741432443748,73.81660825857062
Goa,North Goa,Ponda,15.396587153854014,74.02514928125036
Goa,North Goa,Valpoy,15.556662971078081,74.15321853756438
Goa,North Goa,n.a. ( 1882),15.527630118223517,73.88719379183777
Goa,South Goa,Chauri,14.999445250039223,74.1131037503608
Goa,South Goa,Madgaon,15.256487070511616,73.9844807328305
Goa,South Goa,Quepem,15.141720316800836,74.0803860235866
Goa,South Goa,Sambaji,15.381791263201837,73.88587153753296
