State,District,Taluka/Tehsil,Latitude,Longitude
None,None,Anekal,12.78426902188934,77.69327066429287
None,None,Anelih,28.6029074429567,95.57291159304646
None,None,Angara,23.367174051929,85.59071298289517
None,None,Angjangyang,26.501180459677187,94.94720081872384
None,None,Ani,31.46264596625164,77.42267760953477
None,None,Anini,28.766264505751,95.84083082352853
None,None,Anjad,22.020264282466048,75.17013481499873
None,None,Anjangaon Surji,21.126673765284163,77.29743247138329
None,None,Anjar,23.147998915491648,70.02520406941682
None,None,Anklav,22.357684000302083,73.01309610824673
None,None,Anklesvar,21.598018496930926,72.9809011038526
None,None,Ankola,14.703017078433092,74.44686951483885
None,None,Annapureddypalli,17.35050334361654,80.72369273929107
None,None,Annur,11.208706774949869,77.06830755208593
None,None,Antagarh,19.962802788793052,81.18905136220846
None,None,Antah,25.128614696108226,76.32556195999653
None,None,Anthergaon,18.821319200735104,79.38796289118837
None,None,Anthiyur,11.729365280417687,77.57011177095356
None,None,Anugul,20.833487018344115,85.09455287967077
None,None,Anumasamudrampeta,14.701436708317026,79.67097315960787
None,None,Anumula,16.836238906067592,79.30950828596374
None,None,Anupgarh,29.16426367684849,73.20554506773256
None,None,Anuppur,23.16059559301231,81.84597571048687
None,None,Anupshahr,28.377598196511887,78.18600434866896
None,None,Aonla,28.307038722872086,79.2107657086026
None,None,Aquqhnaqua,25.965915097065643,93.9990134725623
None,None,Arain,26.409305199103045,75.04671453695504
None,None,Arakonam,13.064197881030262,79.66018263738196
None,None,Araku Valley,18.305623828672594,82.94364998582992
None,None,Arambag,22.860416954964613,87.84246245019693
None,None,Arang,21.258375559635386,81.937738748843
None,None,Arani,12.691294351958913,79.25818700059823
None,None,Aranthangi,10.190249538841218,79.04850191538533
None,None,Araria,26.143166452243708,87.46117156947443
None,None,Aravakurichi,10.790793117448295,77.90517215574697
None,None,Arcot,12.840329315768978,79.31932068600521
None,None,Ardhapur,19.273411844933406,77.37734338088764
None,None,Ardhaveedu,15.702283903088942,78.94889500014808
None,None,Areraj,26.52908774334289,84.59844449787686
None,None,Ariari,25.054725753729198,85.81722109354945
None,None,Aripal,34.16661987452612,75.04302793065571
None,None,Ariyalur,11.046071801538986,79.11569131398369
None,None,Arjuni Morgaon,20.81612445477443,80.10920564296046
None,None,Arjyapalli Marine,19.321973649557346,84.97622898202947
None,None,Arkalgud,12.677656469269763,76.06661293251261
None,None,Arki,31.158842108548345,76.93434813525406
None,None,Armoor,18.827807675803705,78.2618490957245
None,None,Armori,20.421653100734492,80.08796352116379
None,None,Arnas,33.26390444804285,74.97638094903168
None,None,Arni,20.04163295494471,78.00462840019807
None,None,Arnia,32.50571965701133,74.8415813535164
None,None,Arnod,23.747162230853466,74.83211029539378
None,None,Aron,24.3832240306583,77.43542732481612
None,None,Arrah,25.601271978017046,84.62748846080572
None,None,Arsha,23.28318204244401,86.20289707335016
None,None,Arsikere,13.31390339179531,76.2514329878127
None,None,Artuna,23.498551944222974,74.11346180067436
None,None,Aruppukkottai,9.432554024684606,78.15422260687318
None,None,Arvi,20.943427349745882,78.3405958497558
None,None,Arwal,25.226413486838496,84.65981883930891
None,None,Asansol,23.69428986743933,86.91702508880039
None,None,Asarganj,25.176391997945316,86.66612653773193
None,None,Ashoknagar,24.498595058930988,77.70594111491606
None,None,Ashta,22.9979792886927,76.7318343257321
None,None,Ashti,18.907132493186683,75.09283483666853
None,None,Ashti,21.227759124979354,78.18173749653681
None,None,Asif Nagar,17.375938542600245,78.45450196679998
None,None,Asifabad,19.352840828273717,79.2578098845827
None,None,Asika,19.642891607814576,84.67014295809832
None,None,Asind,25.673972494402275,74.39180620310087
None,None,Asnawar,24.497019142862086,76.31482186038187
None,None,Aspari,15.50326527331869,77.39739944063024
None,None,Aspur,23.90921747372834,74.02606218445334
None,None,Assandh,29.54942692086985,76.61190201276004
None,None,Assar,33.19046824607324,75.37871578905973
None,None,Astaranga,19.974273904517386,86.28330181846323
None,None,Asthawan,25.204733405204923,85.6574333417422
None,None,Asuto,26.103232089071323,94.66072484435725
None,None,Aswapuram,17.82603960602646,80.78029295342725
None,None,Aswaraopeta,17.369945775859275,81.1140692800204
None,None,Atarra,25.32780701780294,80.62776804821107
None,None,Atchampet,16.66415682918917,80.12537304957404
None,None,Atchutapuram,17.559345003192096,82.9806646349094
None,None,Ateli,28.111095057650868,76.26371478864822
None,None,Ater,26.703681637847417,78.71146944983018
None,None,Athagad,20.494440389365522,85.64845886065162
None,None,Athibung,25.56710592420089,93.50685954223839
None,None,Athmakur,18.068739197766234,79.73346294765614
